article_title,article_summary,article_url,date_published
Chinese National Arrested in United States for Alleged Scheme to Illegally Export Semiconductor Manufacturing Machine,"An indictment was unsealed today charging two Chinese nationals, Han Li, also known as Anson Li, 44, and Lin Chen, 64, with crimes related to a conspiracy to illegally export U.S technology, including a machine manufactured by a California-based company that is used to process silicon wafer microchips, to prohibited end users in China, in violation of the International Emergency Economic Powers Act (IEEPA) and Export Administration Regulations (EAR). Chen was arrested in Chicago yesterday.",https://www.justice.gov//opa/pr/chinese-national-arrested-united-states-alleged-scheme-illegally-export-semiconductor,2024-04-25
Justice Department Recognizes Crime Victim Services Professionals and Survivors at 2024 National Crime Victims’ Service Awards Ceremony,"Assistant Attorney General Amy L. Solomon of the Office of Justice Programs and Director Kristina Rose of the Office for Victims of Crime today recognized eight individuals and organizations for their advocacy, innovation and research on behalf of victims of crime.",https://www.justice.gov//opa/pr/justice-department-recognizes-crime-victim-services-professionals-and-survivors-2024,2024-04-25
Illinois Man Pleads Guilty in Odometer Tampering Conspiracy,An Illinois man pleaded guilty today in connection with a years-long fraud conspiracy to roll back the odometer readings on hundreds of used cars.,https://www.justice.gov//opa/pr/illinois-man-pleads-guilty-odometer-tampering-conspiracy,2024-04-25
Minnesota Businessman Sentenced for Tax Evasion,A Minnesota businessman was sentenced to 21 months in prison for evading the payment of federal individual income taxes he owed for the years 2007 through 2019.,https://www.justice.gov//opa/pr/minnesota-businessman-sentenced-tax-evasion,2024-04-25
Former Comptroller General of Ecuador Convicted for $10M International Bribery and Money Laundering Scheme,A federal jury in Miami convicted the former Comptroller General of Ecuador yesterday for his role in a multimillion-dollar international bribery and money laundering scheme.,https://www.justice.gov//opa/pr/former-comptroller-general-ecuador-convicted-10m-international-bribery-and-money-laundering,2024-04-24
Clemency Recipient List,"President Joseph R. Biden Jr. today is granting clemency to 16 individuals, consisting of 11 pardons and five commutations.",https://www.justice.gov//opa/pr/clemency-recipient-list-2,2024-04-24
Former Operator of Two Municipal Golf Courses Sentenced for Tax Conspiracy and Filing False Tax Returns,"A former Massachusetts golf course manager was sentenced to 13 months in prison for conspiring to defraud the United States, filing false tax returns and making a false statement to a financial institution.",https://www.justice.gov//opa/pr/former-operator-two-municipal-golf-courses-sentenced-tax-conspiracy-and-filing-false-tax,2024-04-24
New Jersey Couple Convicted of Forced Labor and Other Federal Crimes,"After a two-week trial, a federal jury in Camden, New Jersey, found Bolaji Bolarinwa, 50, and Isiaka Bolarinwa, 67, both of Burlington County, New Jersey, guilty of forced labor and other crimes related to their coercive scheme to compel two victims to perform domestic labor and childcare in their home.",https://www.justice.gov//opa/pr/new-jersey-couple-convicted-forced-labor-and-other-federal-crimes,2024-04-24
Laboratory Owners Charged in $36M COVID-19 Testing Fraud Scheme,"An indictment was unsealed today in the Southern District of Florida charging three men for their alleged roles in an approximately $36 million health care fraud, wire fraud, and money laundering scheme that involved submitting false and fraudulent claims for COVID-19 testing to health care benefit programs, including Medicare and the Health Resources and Services Administration (HRSA) COVID-19 Uninsured Program.",https://www.justice.gov//opa/pr/laboratory-owners-charged-36m-covid-19-testing-fraud-scheme,2024-04-24
Seattle Businessman Charged with Tax Evasion Scheme,A federal grand jury in Seattle returned an indictment charging a Washington man with tax evasion and the filing of false tax returns related to a scheme to conceal income received from his commercial property business.,https://www.justice.gov//opa/pr/seattle-businessman-charged-tax-evasion-scheme,2024-04-24
Former New Mexico Sheriff’s Office Deputy Pleads Guilty to Violating Civil Rights of Arrestee and Obstruction of Justice,"A former sheriff’s deputy, Michael A. Martinez, 34, pleaded guilty today to violating the civil rights of a female arrestee by sexually assaulting her inside his patrol car and to obstructing justice by attempting to destroy his patrol car’s WatchGuard DVR system, which had recorded footage from his patrol car’s internal cameras of the sexual assault.",https://www.justice.gov//opa/pr/former-new-mexico-sheriffs-office-deputy-pleads-guilty-violating-civil-rights-arrestee-and,2024-04-23
Justice Department Reaches Civil Settlement with Victims Abused by Lawrence Nassar,The Justice Department announced today that it has settled 139 administrative claims arising from allegations of sexual abuse committed by former physician and USA Gymnastics official Lawrence Gerard Nassar.,https://www.justice.gov//opa/pr/justice-department-reaches-civil-settlement-victims-abused-lawrence-nassar,2024-04-23
Justice Department Charges Four Iranian Nationals for Multi-Year Cyber Campaign Targeting U.S. Companies,"An indictment was unsealed today in Manhattan federal court charging Iranian nationals Hossein Harooni (حسین هارونی), Reza Kazemifar (رضا کاظمی فر), Komeil Baradaran Salmani (کمیل برادران سلمانی), and Alireza Shafie Nasab (علیرضا شفیعی نسب) for their involvement in a cyber-enabled campaign to compromise U.S. government and private entities, including the U.S. Departments of Treasury and State, defense contractors, and two New York-based companies.",https://www.justice.gov//opa/pr/justice-department-charges-four-iranian-nationals-multi-year-cyber-campaign-targeting-us,2024-04-23
Justice Department Dedicates “Faces of Gun Violence” Exhibit at  ATF’s Inaugural Gun Violence Survivors’ Summit,"Attorney General Merrick B. Garland and Director Steven M. Dettelbach of the Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) dedicated a new “Faces of Gun Violence” exhibit today at a ceremony hosted during ATF’s Inaugural Gun Violence Survivors’ Summit. The exhibit honors and memorializes those whose lives have been tragically lost to gun violence.",https://www.justice.gov//opa/pr/justice-department-dedicates-faces-gun-violence-exhibit-atfs-inaugural-gun-violence,2024-04-23
Doctor Charged with Unlawfully Distributing Controlled Substances and Health Care Fraud,"A New Hampshire doctor made his initial appearance today in Burlington, Vermont, on charges related to his alleged involvement in conspiracies to illegally distribute controlled substances and to commit health care fraud.",https://www.justice.gov//opa/pr/doctor-charged-unlawfully-distributing-controlled-substances-and-health-care-fraud,2024-04-23
"U.S. Trustee Program Enforcement Leads to Injunctions, Fines Against Bankruptcy Petition Preparers Who Targeted Vulnerable Consumers in Foreclosure","Two bankruptcy petition preparers who hid their involvement while providing unauthorized legal advice to debtors in foreclosure were barred from providing bankruptcy-related services, thanks to enforcement actions by the Justice Department’s U.S. Trustee Program (USTP).",https://www.justice.gov//opa/pr/us-trustee-program-enforcement-leads-injunctions-fines-against-bankruptcy-petition-preparers,2024-04-23
Former New Mexico Sheriff’s Office Deputy Pleads Guilty to Violating Civil Rights of Arrestee and Obstruction of Justice,"A former sheriff’s deputy, Michael A. Martinez, 34, pleaded guilty today to violating the civil rights of a female arrestee by sexually assaulting her inside his patrol car and to obstructing justice by attempting to destroy his patrol car’s WatchGuard DVR system, which had recorded footage from his patrol car’s internal cameras of the sexual assault.",https://www.justice.gov//opa/pr/former-new-mexico-sheriffs-office-deputy-pleads-guilty-violating-civil-rights-arrestee-and,2024-04-23
Doctor Charged with Unlawfully Distributing Controlled Substances and Health Care Fraud,"A New Hampshire doctor made his initial appearance today in Burlington, Vermont, on charges related to his alleged involvement in conspiracies to illegally distribute controlled substances and to commit health care fraud.",https://www.justice.gov//opa/pr/doctor-charged-unlawfully-distributing-controlled-substances-and-health-care-fraud,2024-04-23
Readout of War Crimes Accountability Team Director and U.S. Special Prosecutor for the Crime of Aggression’s Visit to Ukraine,"The Justice Department’s War Crimes Accountability Team (WarCAT) Director Christian Levesque and U.S. Special Prosecutor for the Crime of Aggression Jessica Kim traveled to Kyiv, Ukraine, from April 15 to 17, to reaffirm the department’s commitment in advancing accountability for atrocity crimes and Russian aggression against Ukraine. WarCAT Director Levesque and Special Prosecutor Kim were joined by the department’s Resident Legal Advisor posted in Kyiv, Jared Kimball, WarCAT Attorney Advisor Roman Chaban, and the FBI Legal Attaché in Kyiv, Christopher Geiger.",https://www.justice.gov//opa/pr/readout-war-crimes-accountability-team-director-and-us-special-prosecutor-crime-aggressions,2024-04-23
Florida Man Sentenced for Laundering Proceeds of Nigerian Romance Scams and Business Email Compromises,A Florida man was sentenced today in federal court to 48 months in prison for his role in laundering the proceeds of scams against American consumers and businesses to co-conspirators located in Nigeria.,https://www.justice.gov//opa/pr/florida-man-sentenced-laundering-proceeds-nigerian-romance-scams-and-business-email,2024-04-23
"Luxury Handbag Company, Founder and Co-Conspirator Sentenced for Smuggling Handbags Made from Caiman and Python Skin","Luxury handbag company Gzuniga Ltd., its founder Nancy Teresa Gonzalez de Barberi and Gonzalez’s associate Mauricio Giraldo were sentenced to prison for illegally importing merchandise from Colombia to the United States that was made from protected wildlife.",https://www.justice.gov//opa/pr/luxury-handbag-company-founder-and-co-conspirator-sentenced-smuggling-handbags-made-caiman,2024-04-22
Ten Charged and One Arrested in Connection with Sanctions Evasion Scheme,"The Justice Department today announced the unsealing of an indictment charging 10 defendants with conspiring to violate the International Economic Emergency Powers Act (IEEPA) for their roles in a scheme to evade U.S. sanctions imposed on Petróleos de Venezuela, S.A. (PDVSA), the Venezuelan state-owned oil company, in January 2019.",https://www.justice.gov//opa/pr/ten-charged-and-one-arrested-connection-sanctions-evasion-scheme,2024-04-22
TopBuild Abandons Proposed Acquisition of SPI After Antitrust Division Concerns,"TopBuild Corp. announced its decision today to abandon its proposed $960 million acquisition of its rival, SPI Parent Holding Company (SPI). The abandonment comes after the department’s competition concerns.",https://www.justice.gov//opa/pr/topbuild-abandons-proposed-acquisition-spi-after-antitrust-division-concerns,2024-04-22
New Jersey Man Charged with Federal Hate Crime for Breaking into Center for Islamic Life at Rutgers University and Destroying Property,"A New Jersey man has been charged with a federal hate crime for breaking into the Center for Islamic Life at Rutgers University (CILRU) in New Brunswick, New Jersey, and destroying property.",https://www.justice.gov//opa/pr/new-jersey-man-charged-federal-hate-crime-breaking-center-islamic-life-rutgers-university,2024-04-22
Operators of Florida Labor Staffing Companies Sentenced to More than Three Years in Prison for Tax and Immigration Charges,"Two operators of several Key West, Florida, labor staffing companies – including PSEB Services Inc., E.S.F. Services Inc. and Expert Services F.S. Inc. – were each sentenced to over three years in prison for tax and immigration-related crimes.",https://www.justice.gov//opa/pr/operators-florida-labor-staffing-companies-sentenced-more-three-years-prison-tax-and,2024-04-22
Sex Traffickers Sentenced in Maine,"Ricardo Middleton, 32, of Boston, was sentenced today to 30 years in prison, followed by 10 years of supervised release after a jury found Middleton guilty in December 2023 of sex trafficking a young woman through force, fraud and coercion and obstruction in Maine.",https://www.justice.gov//opa/pr/sex-traffickers-sentenced-maine,2024-04-22
Attorney General Merrick B. Garland Statement on the Senate’s Vote on the Reauthorization and Reform of Foreign Intelligence Surveillance Act Section 702,The Justice Department issued the following statement from Attorney General Merrick B. Garland on the Senate's vote on the reauthorization and reform of the Foreign Intelligence Surveillance Act Section 702:,https://www.justice.gov//opa/pr/attorney-general-merrick-b-garland-statement-senates-vote-reauthorization-and-reform-foreign,2024-04-20
Readout of Justice Department and EU Network Meeting on Battlefield Evidence,"This week, senior representatives and prosecutors from the United States, the European Union, international organizations, and civil society convened to exchange expertise on battlefield evidence in shared efforts to counter terrorism and transnational crime.",https://www.justice.gov//opa/pr/readout-justice-department-and-eu-network-meeting-battlefield-evidence,2024-04-19
Hedge Fund Manager Sentenced for Operating Multimillion-Dollar Ponzi Scheme,"A Florida man was sentenced today to one year and one day in prison for using his hedge fund management company as part of a years-long, multimillion-dollar Ponzi scheme.",https://www.justice.gov//opa/pr/hedge-fund-manager-sentenced-operating-multimillion-dollar-ponzi-scheme,2024-04-19
Dark Web Vendor Sentenced for Distributing Narcotics and Ordered to Forfeit $150M,An Indian national was sentenced today to five years in prison for selling controlled substances on dark web marketplaces and ordered to forfeit approximately $150 million.,https://www.justice.gov//opa/pr/dark-web-vendor-sentenced-distributing-narcotics-and-ordered-forfeit-150m,2024-04-19
Two Former Arkansas Sheriff’s Deputies Plead Guilty to Federal Civil Rights Violations for Violently Assaulting a Man They Arrested,"Two former Crawford County, Arkansas, sheriff’s deputies, Levi White, 34, and Zackary King, 28, pleaded guilty to federal civil rights offenses for using unlawful force on a man they arrested.",https://www.justice.gov//opa/pr/two-former-arkansas-sheriffs-deputies-plead-guilty-federal-civil-rights-violations-violently,2024-04-19
Justice Department Announces Medical Legal Partnership Project for Incarcerated Individuals,"The Justice Department announced today the development of a medical-legal partnership (MLP) project for incarcerated individuals to help reduce barriers to reentry and reduce recidivism. The Office for Access to Justice (ATJ) and the Federal Bureau of Prisons (FBOP) have worked collaboratively to develop this partnership as the next step of a broader civil legal services initiative launched last year. The partnership will connect medical and legal expertise to identify adults in custody (AIC) who require long-term access to post-release critical needs like housing, food security, and more. The",https://www.justice.gov//opa/pr/justice-department-announces-medical-legal-partnership-project-incarcerated-individuals,2024-04-19
Readout of Justice Department and EU Network Meeting on Battlefield Evidence,"This week, senior representatives and prosecutors from the United States, the European Union, international organizations, and civil society convened to exchange expertise on battlefield evidence in shared efforts to counter terrorism and transnational crime.",https://www.justice.gov//opa/pr/readout-justice-department-and-eu-network-meeting-battlefield-evidence,2024-04-19
Justice Department’s Environment and Natural Resources Division Commemorates Earth Day and Releases the Division’s Accomplishments Report for Fiscal Year 2023,The Justice Department’s Environment and Natural Resources Division (ENRD) released the Division’s Accomplishments for Fiscal Year (FY) 2023 in commemoration of Earth Day on April 22.,https://www.justice.gov//opa/pr/justice-departments-environment-and-natural-resources-division-commemorates-earth-day-and,2024-04-19
Former CEO of Utah Charity Sentenced to Prison for Tax Evasion,A Utah man was sentenced to one year and one day in prison for evading taxes on $1.3 million he was paid as part of a secret arrangement with a purported donor to the charity where he worked.,https://www.justice.gov//opa/pr/former-ceo-utah-charity-sentenced-prison-tax-evasion,2024-04-19
Two Florida Steel Traders Sentenced for Money Laundering and Russia-Ukraine Sanctions Violations,"John Can Unsalan, aka Hurrem Can Unsalan, the president of Orlando, Florida-based steel trading firm Metalhouse LLC, was sentenced to six years in prison for conspiracy to commit money laundering to promote violations of U.S. sanctions against Sergey Kurchenko, a pro-Russian Ukrainian oligarch.",https://www.justice.gov//opa/pr/two-florida-steel-traders-sentenced-money-laundering-and-russia-ukraine-sanctions-violations,2024-04-19
Foreign National Extradited from Chile to the United States for Kidnapping and Assaulting U.S. Army Soldiers in Colombia,"A Colombian national was extradited from Chile to the United States yesterday to face charges related to kidnapping and assaulting two U.S. Army soldiers who were on temporary duty in Bogota, Colombia.",https://www.justice.gov//opa/pr/foreign-national-extradited-chile-united-states-kidnapping-and-assaulting-us-army-soldiers,2024-04-18
Thirty-Seven Gang Members and Associates Sentenced in Large-Scale Racketeering and Drug Trafficking Case,"The 37th and final defendant was sentenced today in a Northern District of Mississippi case that targeted the violent activities, drug trafficking, and money laundering of the Simon City Royals prison gang.",https://www.justice.gov//opa/pr/thirty-seven-gang-members-and-associates-sentenced-large-scale-racketeering-and-drug,2024-04-18
Justice Department Sues to Shut Down Miami Return Preparer,"The Justice Department’s Tax Division filed a civil injunction suit to permanently bar Nia Daniel and her tax return preparation business, Nia Help Service LLC, from preparing federal income tax returns for others.",https://www.justice.gov//opa/pr/justice-department-sues-shut-down-miami-return-preparer,2024-04-18
Readout of Deputy Attorney General Lisa Monaco’s Trip to Detroit and Chicago,Deputy Attorney General (AG) Lisa Monaco traveled to Detroit and Chicago this week to highlight the Justice Department’s work with state and local law enforcement to successfully drive down violent crime across the United States.,https://www.justice.gov//opa/pr/readout-deputy-attorney-general-lisa-monacos-trip-detroit-and-chicago,2024-04-18
Foreign National Extradited from Chile to the United States for Kidnapping and Assaulting U.S. Army Soldiers in Colombia,"A Colombian national was extradited from Chile to the United States yesterday to face charges related to kidnapping and assaulting two U.S. Army soldiers who were on temporary duty in Bogota, Colombia.",https://www.justice.gov//opa/pr/foreign-national-extradited-chile-united-states-kidnapping-and-assaulting-us-army-soldiers,2024-04-18
Justice Department Secures Agreement with City of Virginia Beach to Improve Access for Individuals with Disabilities,"The Justice Department announced today a settlement agreement with the City of Virginia Beach, Virginia, to ensure that individuals with disabilities, including Veterans, have equal access to city buildings and other civic programs. The agreement is part of the department’s commitment to ensure that civic institutions comply with the Americans with Disabilities Act (ADA). Virginia Beach has a large population of Veterans, active-duty military service members, retirees and their families.",https://www.justice.gov//opa/pr/justice-department-secures-agreement-city-virginia-beach-improve-access-individuals,2024-04-18
Chicago-Area Tax Preparer Indicted for False Tax Returns,An Illinois man made his initial appearance today on an indictment returned by a federal grand jury in Chicago charging him with 21 counts of preparing false tax returns for others.,https://www.justice.gov//opa/pr/chicago-area-tax-preparer-indicted-false-tax-returns,2024-04-18
Thirty-Seven Gang Members and Associates Sentenced in Large-Scale Racketeering and Drug Trafficking Case,"The 37th and final defendant was sentenced today in a Northern District of Mississippi case that targeted the violent activities, drug trafficking, and money laundering of the Simon City Royals prison gang.",https://www.justice.gov//opa/pr/thirty-seven-gang-members-and-associates-sentenced-large-scale-racketeering-and-drug,2024-04-18
Readout of Deputy Attorney General Lisa Monaco’s Trip to Detroit and Chicago,Deputy Attorney General (AG) Lisa Monaco traveled to Detroit and Chicago this week to highlight the Justice Department’s work with state and local law enforcement to successfully drive down violent crime across the United States.,https://www.justice.gov//opa/pr/readout-deputy-attorney-general-lisa-monacos-trip-detroit-and-chicago,2024-04-18
Man Convicted for $110M Cryptocurrency Scheme,"A federal jury in New York convicted a man residing in Puerto Rico today of commodities fraud, commodities market manipulation, and wire fraud in connection with the manipulation on the Mango Markets decentralized cryptocurrency exchange.",https://www.justice.gov//opa/pr/man-convicted-110m-cryptocurrency-scheme,2024-04-18
Deputy Attorney General Lisa Monaco Announces New Crime Gun Intelligence Center in Chicago,"Alongside state and local law enforcement partners in Chicago, Deputy Attorney General Lisa O. Monaco and Director Steven Dettelbach of the Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) announced today the opening of a new Crime Gun Intelligence Center (CGIC) in Chicago.",https://www.justice.gov//opa/pr/deputy-attorney-general-lisa-monaco-announces-new-crime-gun-intelligence-center-chicago,2024-04-17
Florida Man Charged with Sex Trafficking Multiple Women and Sexually Assaulting a Minor in New York,"An indictment was unsealed in Brooklyn, New York, today charging a Florida man with sex trafficking multiple women and coercion and enticement of a minor.",https://www.justice.gov//opa/pr/florida-man-charged-sex-trafficking-multiple-women-and-sexually-assaulting-minor-new-york,2024-04-17
Justice Department Launches Carjacking Task Forces in Targeted Areas Across the Country,The Justice Department announced that 11 U.S. Attorneys’ Offices have now established a carjacking task force to focus efforts and resources on this important public safety threat.,https://www.justice.gov//opa/pr/justice-department-launches-carjacking-task-forces-targeted-areas-across-country,2024-04-17
Alabama Tax Preparer Sentenced for False Tax Return Scheme,"An Alabama man was sentenced to 30 months in prison for conspiring to prepare and file false tax returns for clients in Jackson, Mississippi, and for preparing false returns. Four co-conspirators were previously sentenced.",https://www.justice.gov//opa/pr/alabama-tax-preparer-sentenced-false-tax-return-scheme,2024-04-17
Leader of Multimillion-Dollar Clinic Scam Resentenced for Health Care and Tax Fraud Conspiracy,"A New York man was resentenced today to nine years in prison and ordered to pay $39 million in restitution for his role in a multimillion-dollar health care kickback and tax avoidance conspiracy, after his previous sentence was vacated.",https://www.justice.gov//opa/pr/leader-multimillion-dollar-clinic-scam-resentenced-health-care-and-tax-fraud-conspiracy,2024-04-17
U.S. Army Financial Counselor Pleads Guilty to Defrauding Gold Star Families,A New Jersey financial counselor with the U.S. Army and major in the U.S. Army Reserves pleaded guilty today to defrauding Gold Star families and related crimes.,https://www.justice.gov//opa/pr/us-army-financial-counselor-pleads-guilty-defrauding-gold-star-families,2024-04-16
Ohio Financial Planner Sentenced to Prison for Promoting an Illegal Charitable Contribution Tax Shelter,A financial planner from Cleveland was sentenced to 20 months in prison for conspiring to defraud the United States by promoting an illegal tax shelter scheme involving false charitable deductions.,https://www.justice.gov//opa/pr/ohio-financial-planner-sentenced-prison-promoting-illegal-charitable-contribution-tax,2024-04-16
New Jersey Longshoreman Sentenced for Tax Fraud,A New Jersey man was sentenced to 29 months in prison for evading taxes and not filing income tax returns.,https://www.justice.gov//opa/pr/new-jersey-longshoreman-sentenced-tax-fraud,2024-04-16
Justice Department Announces That It Will Provide Technical Assistance to Indianapolis Metropolitan Police Department Under COPS Office’s Collaborative Reform Initiative,The Justice Department’s Office of Community Oriented Policing Services (COPS Office) today announced it will engage with the Indianapolis Metropolitan Police Department (IMPD) through the COPS Office’s Collaborative Reform Initiative’s Critical Response program.,https://www.justice.gov//opa/pr/justice-department-announces-it-will-provide-technical-assistance-indianapolis-metropolitan,2024-04-16
