article_title,article_summary,article_url,date_published,cleaned_title_summary,label
"Justice Department and Federal Trade Commission Seek Information on Serial Acquisitions, Roll-Up Strategies Across U.S. Economy",The Justice Department and Federal Trade Commission (FTC) jointly launched a public inquiry to identify serial acquisitions and roll-up strategies throughout the U.S. economy that have led to consolidation and harmed competition.,https://www.justice.gov//opa/pr/justice-department-and-federal-trade-commission-seek-information-serial-acquisitions-roll,2024-05-23,justice department federal trade commission seek information serial acquisition roll strategy u.s economy justice department federal trade commission ftc jointly launch public inquiry identify serial acquisition roll strategy u.s economy lead consolidation harm competition,False
Former Venezuelan Military Official Sentenced for Money Laundering and Bribery Scheme,A former officer in the Venezuelan National Guard was sentenced today to one year and one day in prison for participating in a money laundering scheme that involved bribes to foreign officials and defrauding foreign financial institutions.,https://www.justice.gov//opa/pr/former-venezuelan-military-official-sentenced-money-laundering-and-bribery-scheme,2024-05-23,venezuelan military official sentence money laundering bribery scheme officer venezuelan national guard sentence today year day prison participate money laundering scheme involve bribe foreign official defraud foreign financial institution,True
"Justice Department Announces Achievements in Police Reform in Suffolk County, New York","The Justice Department announced today that the Suffolk County, New York, Police Department (SCPD) has achieved sustained compliance with provisions of its settlement agreement with SCPD, including requirements concerning tracking and trending hate crimes and hate incidents, investigating allegations of police misconduct and development of policies and training. As a result, the department has terminated those provisions of the settlement agreement.",https://www.justice.gov//opa/pr/justice-department-announces-achievements-police-reform-suffolk-county-new-york,2024-05-23,justice department announce achievement police reform suffolk county new york justice department announce today suffolk county new york police department scpd achieve sustained compliance provision settlement agreement scpd include requirement concern tracking trend hate crime hate incident investigate allegation police misconduct development policy training result department terminate provision settlement agreement,False
"Justice Department Secures Agreement with Pawtucket, Rhode Island, to Resolve Voting Rights Lawsuit","The Justice Department announced today that it has secured an agreement with the City of Pawtucket, Rhode Island, and city elections officials to resolve allegations that Pawtucket failed to provide Spanish-language assistance for voters in violation of the Voting Rights Act and did not allow qualified voters to cast provisional ballots in violation of the Help America Vote Act.",https://www.justice.gov//opa/pr/justice-department-secures-agreement-pawtucket-rhode-island-resolve-voting-rights-lawsuit,2024-05-23,justice department secure agreement pawtucket rhode island resolve voting right lawsuit justice department announce today secure agreement city pawtucket rhode island city election official resolve allegation pawtucket fail provide spanish language assistance voter violation voting right act allow qualified voter cast provisional ballot violation help america vote act,False
Former Federal Bureau of Prisons Corrections Officer Sentenced for Sexually Abusing Inmate in His Custody,"A former Federal Bureau of Prisons (FBOP) Corrections Officer, Robert D. Smith, 39, was sentenced today in federal court to 24 months in prison, followed by 15 years of supervised release, for sexually abusing an inmate while he was a corrections officer at the Federal Correctional Institution, in Aliceville, Alabama (FCI-Aliceville).",https://www.justice.gov//opa/pr/former-federal-bureau-prisons-corrections-officer-sentenced-sexually-abusing-inmate-his,2024-05-23,federal bureau prison correction officer sentence sexually abuse inmate custody federal bureau prison fbop correction officer robert d. smith 39 sentence today federal court 24 month prison follow 15 year supervised release sexually abuse inmate correction officer federal correctional institution aliceville alabama fci aliceville,False
Justice Department Releases Webinar with Department of Education’s Office for Civil Rights to Improve Accessibility of School Buildings,"The Justice Department’s Civil Rights Division and the Department of Education’s Office for Civil Rights today announced the release of a webinar setting out ways for school districts across the country to increase accessibility for students and teachers with disabilities in their school facilities.  The webinar, “Accessible Public Schools,” was developed by the Justice Department in consultation with the Department of Education and responds to a U.S. Government Accountability Office (GAO) investigation and report issued in 2020: School Districts Need Better Information to Help Improve Access",https://www.justice.gov//opa/pr/justice-department-releases-webinar-department-educations-office-civil-rights-improve,2024-05-23,justice department release webinar department education office civil right improve accessibility school building justice department civil right division department education office civil right today announce release webinar set way school district country increase accessibility student teacher disability school facility webinar accessible public school develop justice department consultation department education respond u.s government accountability office gao investigation report issue 2020 school district need well information help improve access,False
Doctor Convicted of Nearly $2M Medicare and Medicaid Fraud Scheme,A federal jury convicted a Nevada doctor yesterday for his role in defrauding Medicare and Medicaid of nearly $2 million.,https://www.justice.gov//opa/pr/doctor-convicted-nearly-2m-medicare-and-medicaid-fraud-scheme,2024-05-23,doctor convict nearly $ 2 m medicare medicaid fraud scheme federal jury convict nevada doctor yesterday role defraud medicare medicaid nearly $ 2 million,True
Former Boilermakers Union Chief of Staff Pleads Guilty to Racketeering Conspiracy,A Missouri man pleaded guilty today to racketeering conspiracy in connection with his involvement in serious financial misconduct at an international labor organization.,https://www.justice.gov//opa/pr/former-boilermakers-union-chief-staff-pleads-guilty-racketeering-conspiracy,2024-05-23,boilermaker union chief staff plead guilty racketeering conspiracy missouri man plead guilty today racketeer conspiracy connection involvement financial misconduct international labor organization,True
Justice Department Announces Multiple Drug and Firearms Arrests,"The Justice Department today announced a multi-agency law enforcement action, targeting armed drug trafficking networks in Washington, D.C., which resulted in 24 arrests in the past nine days. This action follows a surge in additional law enforcement tools and resources announced in January by Attorney General Merrick B. Garland to fight violent crime in Washington, D.C.",https://www.justice.gov//opa/pr/justice-department-announces-multiple-drug-and-firearms-arrests,2024-05-23,justice department announce multiple drug firearm arrest justice department today announce multi agency law enforcement action target armed drug trafficking network washington d.c result 24 arrest past day action follow surge additional law enforcement tool resource announce january attorney general merrick b. garland fight violent crime washington d.c,False
Justice Department Sues Live Nation-Ticketmaster for Monopolizing Markets Across the Live Concert Industry,"The Justice Department, along with 30 state and district attorneys general, filed a civil antitrust lawsuit against Live Nation Entertainment Inc. and its wholly-owned subsidiary, Ticketmaster LLC (Live Nation-Ticketmaster) for monopolization and other unlawful conduct that thwarts competition in markets across the live entertainment industry. The lawsuit, which includes a request for structural relief, seeks to restore competition in the live concert industry, provide better choices at lower prices for fans, and open venue doors for working musicians and other performance artists.",https://www.justice.gov//opa/pr/justice-department-sues-live-nation-ticketmaster-monopolizing-markets-across-live-concert,2024-05-23,justice department sue live nation ticketmaster monopolize market live concert industry justice department 30 state district attorney general file civil antitrust lawsuit live nation entertainment inc wholly own subsidiary ticketmaster llc live nation ticketmaster monopolization unlawful conduct thwart competition market live entertainment industry lawsuit include request structural relief seek restore competition live concert industry provide well choice low price fan open venue door work musician performance artist,False
Justice Department and Department of Labor Secure Agreements with Tech Company to Resolve Discriminatory “Whites Only” Job Posting,"The Justice Department and the Department of Labor announced today separate agreements with Arthur Grand Technologies Inc. (Arthur Grand), an information technology services firm based in Virginia. The Justice Department’s agreement resolves the department’s determination that Arthur Grand violated the Immigration and Nationality Act (INA) by posting a discriminatory job advertisement in March 2023 that restricted eligible candidates to “only US Born Citizens [white] who are local within 60 miles from Dallas, TX [Don’t share with candidates].” (brackets in original). The Labor Department’s",https://www.justice.gov//opa/pr/justice-department-and-department-labor-secure-agreements-tech-company-resolve,2024-05-23,justice department department labor secure agreement tech company resolve discriminatory white job post justice department department labor announce today separate agreement arthur grand technologies inc arthur grand information technology service firm base virginia justice department agreement resolve department determination arthur grand violate immigration nationality act ina post discriminatory job advertisement march 2023 restrict eligible candidate bear citizen white local 60 mile dallas tx share candidate bracket original labor department,True
Owner of Ambulatory Transportation Company Indicted for Tax Evasion and COVID-19 Relief Fraud,"A federal grand jury in Santa Ana, California, returned a superseding indictment charging a California man with wire fraud and money laundering for making fraudulent claims to the Paycheck Protection Program (PPP) and the Economic Injury Disaster Loan (EIDL) program, two federal programs created to provide financial assistance to Americans suffering economic harm as a result of the COVID-19 pandemic. He had previously been charged with tax evasion and filing false corporate tax returns.",https://www.justice.gov//opa/pr/owner-ambulatory-transportation-company-indicted-tax-evasion-and-covid-19-relief-fraud,2024-05-22,owner ambulatory transportation company indict tax evasion covid-19 relief fraud federal grand jury santa ana california return supersede indictment charge california man wire fraud money laundering make fraudulent claim paycheck protection program ppp economic injury disaster loan eidl program federal program create provide financial assistance americans suffer economic harm result covid-19 pandemic previously charge tax evasion file false corporate tax return,True
Arizona Man Sentenced for Role in Scheme to Steal Money from U.S. Bank Accounts,An Arizona man was sentenced yesterday in federal court in San Diego to 51 months in prison for conspiracy to commit access device fraud.,https://www.justice.gov//opa/pr/arizona-man-sentenced-role-scheme-steal-money-us-bank-accounts,2024-05-22,arizona man sentence role scheme steal money u.s bank account arizona man sentence yesterday federal court san diego 51 month prison conspiracy commit access device fraud,True
Additional Defendant Sentenced for Federal Conspiracy Against Rights and Freedom of Access to Clinic Entrances (FACE) Act Convictions Related to 2020 D.C. Clinic Invasion and Blockade,"Heather Idoni was sentenced today to 24 months in prison following her convictions for federal conspiracy against rights and Freedom of Access to Clinic Entrances (FACE) Act offenses following three separate trials in connection with the blockade of a Washington, D.C., area reproductive health clinic on Oct. 22, 2020.",https://www.justice.gov//opa/pr/additional-defendant-sentenced-federal-conspiracy-against-rights-and-freedom-access-clinic,2024-05-22,additional defendant sentence federal conspiracy right freedom access clinic entrance face act conviction relate 2020 d.c clinic invasion blockade heather idoni sentence today 24 month prison follow conviction federal conspiracy right freedom access clinic entrance face act offense follow separate trial connection blockade washington d.c area reproductive health clinic oct 22 2020,False
Purported Rap Promoter Pleads Guilty to Role in $2.3M Nationwide Fraud Conspiracy,"An Illinois man pleaded guilty today to his role in a nationwide wire fraud conspiracy that victimized businesses and individuals across the United States, and caused a total loss of $2,299,842.",https://www.justice.gov//opa/pr/purported-rap-promoter-pleads-guilty-role-23m-nationwide-fraud-conspiracy,2024-05-22,"purport rap promoter plead guilty role $ 2.3 m nationwide fraud conspiracy illinois man plead guilty today role nationwide wire fraud conspiracy victimize business individual united states cause total loss $ 2,299,842",True
Arizona Man Sentenced for Role in Scheme to Steal Money from U.S. Bank Accounts,An Arizona man was sentenced yesterday in federal court in San Diego to 51 months in prison for conspiracy to commit access device fraud.,https://www.justice.gov//opa/pr/arizona-man-sentenced-role-scheme-steal-money-us-bank-accounts,2024-05-22,arizona man sentence role scheme steal money u.s bank account arizona man sentence yesterday federal court san diego 51 month prison conspiracy commit access device fraud,True
Additional Defendant Sentenced for Federal Conspiracy Against Rights and Freedom of Access to Clinic Entrances (FACE) Act Convictions Related to 2020 D.C. Clinic Invasion and Blockade,"Heather Idoni was sentenced today to 24 months in prison following her convictions for federal conspiracy against rights and Freedom of Access to Clinic Entrances (FACE) Act offenses following three separate trials in connection with the blockade of a Washington, D.C., area reproductive health clinic on Oct. 22, 2020.",https://www.justice.gov//opa/pr/additional-defendant-sentenced-federal-conspiracy-against-rights-and-freedom-access-clinic,2024-05-22,additional defendant sentence federal conspiracy right freedom access clinic entrance face act conviction relate 2020 d.c clinic invasion blockade heather idoni sentence today 24 month prison follow conviction federal conspiracy right freedom access clinic entrance face act offense follow separate trial connection blockade washington d.c area reproductive health clinic oct 22 2020,False
"Justice Department Secures Landmark Agreement with City of Anoka, Minnesota, to End Disability Discrimination in “Crime-Free” Housing Program","The Justice Department announced today that it filed a complaint and proposed consent decree to resolve allegations that the city of Anoka, Minnesota, violated the Americans with Disabilities Act (ADA) and the Fair Housing Act by denying tenants with mental health disabilities an equal opportunity to receive emergency assistance.",https://www.justice.gov//opa/pr/justice-department-secures-landmark-agreement-city-anoka-minnesota-end-disability,2024-05-21,justice department secure landmark agreement city anoka minnesota end disability discrimination crime free housing program justice department announce today file complaint propose consent decree resolve allegation city anoka minnesota violate americans disability act ada fair housing act deny tenant mental health disability equal opportunity receive emergency assistance,False
Man Sentenced for Laundering Over $4.5M Obtained from Business Email Compromise and Romance Fraud Schemes,"A Georgia man was sentenced today to 10 years in prison for laundering more than $4.5 million derived from business email compromise (BEC) schemes, including a scheme that defrauded a health care benefit program, and romance fraud schemes.",https://www.justice.gov//opa/pr/man-sentenced-laundering-over-45m-obtained-business-email-compromise-and-romance-fraud,2024-05-21,man sentence launder $ 4.5 m obtain business email compromise romance fraud scheme georgia man sentence today 10 year prison launder $ 4.5 million derive business email compromise bec scheme include scheme defraud health care benefit program romance fraud scheme,True
Justice Department Files Lawsuit Against the State of Oklahoma Regarding Unconstitutional State Immigration Law,"The Justice Department today filed suit against the State of Oklahoma to challenge House Bill 4156 (HB 4156) under the U.S. Constitution’s Supremacy Clause and Foreign Commerce Clause. The Constitution assigns the federal government the authority to regulate immigration and manage our international borders. Pursuant to this authority, Congress has established a comprehensive immigration framework governing noncitizens’ entry, reentry and presence. Because HB 4156 is preempted by federal law and violates the U.S. Constitution, the Justice Department seeks a declaration that HB 4156 is invalid",https://www.justice.gov//opa/pr/justice-department-files-lawsuit-against-state-oklahoma-regarding-unconstitutional-state,2024-05-21,justice department file lawsuit state oklahoma unconstitutional state immigration law justice department today file suit state oklahoma challenge house bill 4156 hb 4156 u.s constitution supremacy clause foreign commerce clause constitution assign federal government authority regulate immigration manage international border pursuant authority congress establish comprehensive immigration framework govern noncitizen entry reentry presence hb 4156 preempt federal law violate u.s constitution justice department seek declaration hb 4156 invalid,False
Texas Petrochemical Company Pleads Guilty to Clean Air Act Violation and Fined More than $30 Million in Criminal Fines and Civil Penalties Related to Explosions at Its Facility in Port Neches,"The Justice Department and Environmental Protection Agency (EPA) announced the filing of a felony criminal charge and related civil complaint and consent decree under the Clean Air Act (CAA) against TPC Group LLC, a Texas petrochemical company. TPC Group also entered a plea of guilty today to a one-count information charging the company with a violation of the Clean Air Act before U.S. Magistrate Judge Zack Hawthorn for the Eastern District of Texas.",https://www.justice.gov//opa/pr/texas-petrochemical-company-pleads-guilty-clean-air-act-violation-and-fined-more-30-million,2024-05-21,texas petrochemical company plead guilty clean air act violation fine $ 30 million criminal fine civil penalty relate explosion facility port neche justice department environmental protection agency epa announce filing felony criminal charge relate civil complaint consent decree clean air act caa tpc group llc texas petrochemical company tpc group enter plea guilty today count information charge company violation clean air act u.s magistrate judge zack hawthorn eastern district texas,True
Justice Department and Stanford University to Cohost Workshop “Promoting Competition in Artificial Intelligence”,The Justice Department and Stanford University will hold a public workshop on May 30 to discuss the state of competition across the Artificial Intelligence (AI) technology industry from the chip to the app.,https://www.justice.gov//opa/pr/justice-department-and-stanford-university-cohost-workshop-promoting-competition-artificial,2024-05-21,justice department stanford university cohost workshop promote competition artificial intelligence justice department stanford university hold public workshop 30 discuss state competition artificial intelligence ai technology industry chip app,False
Companies that Own and Operate Oil Tanker Plead Guilty to Environmental Crimes,,https://www.justice.gov//opa/pr/companies-own-and-operate-oil-tanker-plead-guilty-environmental-crimes,2024-05-21,company operate oil tanker plead guilty environmental crime nn,True
Federal Court Permanently Shuts Down Connecticut Tax Preparer and Businesses,"The U.S. District Court for the District of Connecticut issued a permanent injunction against a Connecticut tax return preparer, Juan Carlos Frias, and his businesses, USA Tax LLC, Multi Latin Services LLC and Connecticut Tax and Services Inc., permanently barring them from preparing federal tax returns for others.",https://www.justice.gov//opa/pr/federal-court-permanently-shuts-down-connecticut-tax-preparer-and-businesses,2024-05-21,federal court permanently shut connecticut tax preparer business u.s district court district connecticut issue permanent injunction connecticut tax return preparer juan carlos frias business usa tax llc multi latin service llc connecticut tax services inc permanently bar prepare federal tax return,False
Man Sentenced for Sex Trafficking Conspiracy,"A Texas man was sentenced today to 22 years and six months in prison for conspiracy to commit sex trafficking by force, fraud, or coercion.",https://www.justice.gov//opa/pr/man-sentenced-sex-trafficking-conspiracy,2024-05-21,man sentence sex trafficking conspiracy texas man sentence today 22 year month prison conspiracy commit sex trafficking force fraud coercion,True
Justice Department Sues Two Organizations and Seven Individuals for Physically Obstructing Access to Reproductive Health Services in Violation of the FACE Act,"The Justice Department filed a federal lawsuit today in the Northern District of Ohio against two organizations and seven individuals for violating the Freedom of Access to Clinic Entrances (FACE) Act. The FACE Act prohibits anyone from using force, threats of force or physical obstruction against any person because they are seeking or providing reproductive health services.",https://www.justice.gov//opa/pr/justice-department-sues-two-organizations-and-seven-individuals-physically-obstructing,2024-05-20,justice department sue organization seven individual physically obstruct access reproductive health service violation face act justice department file federal lawsuit today northern district ohio organization seven individual violate freedom access clinic entrance face act face act prohibit force threat force physical obstruction person seek provide reproductive health service,False
Justice Department Secures Award Against Owner of Massachusetts Sober Homes for Sexual Harassment,"Peter McCarthy, 51, of Lynn, Massachusetts, the owner of Steps to Solutions Inc., a group of residential sober homes, was found liable following a five-day jury trial. In August 2021, the U.S. Attorney’s Office for the District of Massachusetts and the Justice Department’s Civil Rights Division filed a lawsuit alleging that McCarthy subjected female tenants to sexual harassment in violation of the Fair Housing Act.",https://www.justice.gov//opa/pr/justice-department-secures-award-against-owner-massachusetts-sober-homes-sexual-harassment,2024-05-20,justice department secure award owner massachusetts sober home sexual harassment peter mccarthy 51 lynn massachusetts owner step solutions inc group residential sober home find liable follow day jury trial august 2021 u.s attorney office district massachusetts justice department civil right division file lawsuit allege mccarthy subject female tenant sexual harassment violation fair housing act,False
Arizona Tax Preparer Pleads Guilty to Filing False Tax Returns as Part of a Nationwide Abusive-Trust Tax Shelter Scheme,An Arizona man pleaded guilty to two counts of assisting in the preparation of false tax returns for individuals who used an abusive-trust tax shelter to underreport their income and tax liabilities.,https://www.justice.gov//opa/pr/arizona-tax-preparer-pleads-guilty-filing-false-tax-returns-part-nationwide-abusive-trust,2024-05-20,arizona tax preparer plead guilty file false tax return nationwide abusive trust tax shelter scheme arizona man plead guilty count assist preparation false tax return individual abusive trust tax shelter underreport income tax liability,True
"Man Arrested for Producing, Distributing, and Possessing AI-Generated Images of Minors Engaged in Sexually Explicit Conduct","A Wisconsin man was arrested last week on criminal charges related to his alleged production, distribution, and possession of AI-generated images of minors engaged in sexually explicit conduct and his transfer of similar sexually explicit AI-generated images to a minor.",https://www.justice.gov//opa/pr/man-arrested-producing-distributing-and-possessing-ai-generated-images-minors-engaged,2024-05-20,man arrest produce distribute possess ai generate image minor engage sexually explicit conduct wisconsin man arrest week criminal charge relate allege production distribution possession ai generate image minor engage sexually explicit conduct transfer similar sexually explicit ai generate image minor,False
Justice Department Leadership Honors Service and Sacrifice of Nation’s Law Enforcement for Police Week,"Last week, in recognition of National Police Week, Attorney General Merrick B. Garland, Deputy Attorney General Lisa Monaco, and Acting Associate Attorney General Benjamin C. Mizer joined law enforcement partners to honor those who made the ultimate sacrifice to our nation.",https://www.justice.gov//opa/pr/justice-department-leadership-honors-service-and-sacrifice-nations-law-enforcement-police,2024-05-20,justice department leadership honor service sacrifice nation law enforcement police week week recognition national police week attorney general merrick b. garland deputy attorney general lisa monaco act associate attorney general benjamin c. mizer join law enforcement partner honor ultimate sacrifice nation,False
Justice Department Announces Framework for Prosecutors to Strengthen National Response to Sexual Assault and Domestic Violence,"The Justice Department today announced an important new resource for prosecutors. The Framework for Prosecutors to Strengthen Our National Response to Sexual Assault and Domestic Violence Involving Adult Victims, written by prosecutors for prosecutors, sets out five principles that, if implemented, will lead to better outcomes for victims, safer communities, and greater accountability for perpetrators of sexual assault and domestic violence.",https://www.justice.gov//opa/pr/justice-department-announces-framework-prosecutors-strengthen-national-response-sexual,2024-05-20,justice department announce framework prosecutor strengthen national response sexual assault domestic violence justice department today announce important new resource prosecutor framework prosecutor strengthen national response sexual assault domestic violence involve adult victim write prosecutor prosecutor set principle implement lead well outcome victim safe community great accountability perpetrator sexual assault domestic violence,False
“Incognito Market” Owner Arrested for Operating One of the Largest Illegal Narcotics Marketplaces on the Internet,"Rui-Siang Lin, also known as Ruisiang Lin, 林睿庠, Pharoah, and faro, 23, of Taiwan, was arrested today in connection with his operation and ownership of “Incognito Market,” an online dark web narcotics marketplace that enabled its users to buy and sell illegal narcotics anonymously around the world. Lin was arrested at John F. Kennedy Airport on May 18, and will be presented in Manhattan federal court before U.S. Magistrate Judge Willis later today.",https://www.justice.gov//opa/pr/incognito-market-owner-arrested-operating-one-largest-illegal-narcotics-marketplaces,2024-05-20,incognito market owner arrest operate large illegal narcotic marketplace internet rui siang lin know ruisiang lin 林睿庠 pharoah faro 23 taiwan arrest today connection operation ownership incognito market online dark web narcotic marketplace enable user buy sell illegal narcotic anonymously world lin arrest john f. kennedy airport 18 present manhattan federal court u.s magistrate judge willis later today,False
"Puerto Rico Legislator and Her Husband Sentenced for Theft, Bribery, and Kickback Scheme","A Puerto Rico legislator and her husband were sentenced today for engaging in a multi-year theft, bribery, and kickback conspiracy scheme to fraudulently inflate the salary of a legislative assistant in exchange for a portion of the assistant’s inflated salary.",https://www.justice.gov//opa/pr/puerto-rico-legislator-and-her-husband-sentenced-theft-bribery-and-kickback-scheme,2024-05-17,puerto rico legislator husband sentence theft bribery kickback scheme puerto rico legislator husband sentence today engage multi year theft bribery kickback conspiracy scheme fraudulently inflate salary legislative assistant exchange portion assistant inflated salary,True
Man Sentenced for $1.9M Baby Formula Scheme,"A New York man was sentenced today to two years and nine months in prison and ordered to pay approximately $738,000 in restitution and forfeit approximately $1 million for his role in a scheme to fraudulently obtain specialty baby formula.",https://www.justice.gov//opa/pr/man-sentenced-19m-baby-formula-scheme,2024-05-17,"man sentence $ 1.9 m baby formula scheme new york man sentence today year month prison order pay approximately $ 738,000 restitution forfeit approximately $ 1 million role scheme fraudulently obtain specialty baby formula",True
